Nacionalna šifra zdravila;Ime zdravila;ATC;Naziv ATC;Lista;Omejitev predpisovanja in izdajanja v breme javnih sredstev;Datum prièetka veljavnosti
008788;SERETIDE DISKUS 50 mcg/100 mcg na odmerek prašek za inhal.60 odm.;R03AK06;salmeterol in druge uèinkovine za obstruktivne pljuène bolezni;P70*;1. Za bolnike z astmo, ki imajo ob pravilnem prejemanju zmernega odmerka inhalacijskega glukokortikoida neurejeno astmo (rezultat kombiniranih vprašalnikov urejenosti astme je v obmoèju neurejene astme). 2. Za bolnike s KOPB v skupinah GOLD C in D.;6.1.2015
008796;SERETIDE DISKUS 50 mcg/250 mcg na odmerek prašek za inhal.60 odm.;R03AK06;salmeterol in druge uèinkovine za obstruktivne pljuène bolezni;P70*;1. Za bolnike z astmo, ki imajo ob pravilnem prejemanju zmernega odmerka inhalacijskega glukokortikoida neurejeno astmo (rezultat kombiniranih vprašalnikov urejenosti astme je v obmoèju neurejene astme). 2. Za bolnike s KOPB v skupinah GOLD C in D.;6.1.2015
008818;SERETIDE DISKUS 50 mcg/500 mcg na odmerek prašek za inhal.60 odm.;R03AK06;salmeterol in druge uèinkovine za obstruktivne pljuène bolezni;P70*;1. Za bolnike z astmo, ki imajo ob pravilnem prejemanju zmernega odmerka inhalacijskega glukokortikoida neurejeno astmo (rezultat kombiniranih vprašalnikov urejenosti astme je v obmoèju neurejene astme). 2. Za bolnike s KOPB v skupinah GOLD C in D.;6.1.2015
008923;Sortis 10 mg film.obl.tbl. 30x;C10AA05;atorvastatin;PC70*;Za sekundarno preventivo kardiovaskularnih bolezni ob zvišanih vrednostih skupnega holesterola (>4,5 mmol/l) in LDL holesterola (>2,5 mmol/l). za primarno preventivo v primerih zvišane celotne koronarne ogroženosti >20% v 10 letih, èe so vrednosti skupnega holesterola >5,0 mmol/l in LDL holesterola >3,0 mmol/l ter za osebe, ki imajo družinsko hiperholesterolemijo.;27.5.2016
008974;Sortis 20 mg film.obl.tbl. 30x;C10AA05;atorvastatin;PC70*;Za sekundarno preventivo kardiovaskularnih bolezni ob zvišanih vrednostih skupnega holesterola (>4,5 mmol/l) in LDL holesterola (>2,5 mmol/l). za primarno preventivo v primerih zvišane celotne koronarne ogroženosti >20% v 10 letih, èe so vrednosti skupnega holesterola >5,0 mmol/l in LDL holesterola >3,0 mmol/l ter za osebe, ki imajo družinsko hiperholesterolemijo.;27.5.2016
009091;FLIXONASE 400 mcg/0,4 ml kapljice za nos susp.vsebnik 0,4 ml 28x;R01AD08;flutikazon;V;;12.6.2006
009164;SOREL 50 mcg/ml dermal.razt. 60 ml;D05AX02;kalcipotriol;P100;;22.5.2009
009180;SEROXAT 30 mg film.obl.tbl. 30x;N06AB05;paroksetin;PC70;;27.5.2016
009245;TAVANIC 500 mg film.obl.tbl. 10x;J01MA12;levofloksacin;PC70*;Predpisovanje omejeno na bolnike z doma pridobljeno pljuènico in KOPB, èe je zdravilo izbire neuspešno ali zdravljenje z njim ni mogoèe.;27.5.2016
009326;REBIF 22 mcg inj.brizga 0,5 ml 12x;L03AB07;interferon beta-1a;P100*;Zdravilo prvega reda za zdravljenje bolnikov z multiplo sklerozo na podlagi pisnega mnenja Nevrološkega konzilija UKC Ljubljana ali UKC Maribor.;8.12.2011
009350;REBIF 44 mcg inj.brizga 0,5 ml 12x;L03AB07;interferon beta-1a;P100*;Zdravilo prvega reda za zdravljenje bolnikov z multiplo sklerozo na podlagi pisnega mnenja Nevrološkega konzilija UKC Ljubljana ali UKC Maribor.;8.12.2011
009385;Salofalk 250 mg gastrorezist.tbl. 100x;A07EC02;mesalazin;P70;;1.6.2012
009407;Salofalk 500 mg gastrorezist.tbl. 100x;A07EC02;mesalazin;P70;;1.6.2012
009431;Salofalk 500 mg sveèka 10x;A07EC02;mesalazin;PC70;;27.5.2016
009466;Salofalk 500 mg sveèka 30x;A07EC02;mesalazin;PC70;;27.5.2016
009474;Lanzul 15 mg trde gastrorezist.kaps. 28x;A02BC03;lansoprazol;VC;;27.5.2016
009520;Daleron za otroke 120 mg/5 ml peroral.susp. 100 ml;N02BE01;paracetamol;P70;;1.6.2012
009768;Locoidon crelo 1 mg/g dermal.emulzija 30 ml;D07AB02;hidrokortizonbutirat;P70;;1.6.2012
009784;Locoidon lipocrema 1 mg/g krema 30 g;D07AB02;hidrokortizonbutirat;P70;;1.6.2012
009792;Norditropin SimpleXx 10mg/1,5ml razt.za inj.vložek 1x;H01AC01;somatropin;P70*;Omejitev predpisovanja na endokrinologe Pediatriène in Endokrinološke klinike.;1.6.2012
009806;Norditropin SimpleXx 15mg/1,5ml razt.za inj.vložek 1x;H01AC01;somatropin;P70*;Omejitev predpisovanja na endokrinologe Pediatriène in Endokrinološke klinike.;1.6.2012
009814;Norditropin SimpleXx 5mg/1,5ml razt.za inj.vložek 1x;H01AC01;somatropin;P70*;Omejitev predpisovanja na endokrinologe Pediatriène in Endokrinološke klinike.;1.6.2012
009890;INFECTOSCAB 5 % krema tuba 30 g 1x;P03AC04;permetrin;P100;;20.1.2011
010014;BELOSALIC 0,5 mg / 20 mg v 1 g dermal.razt. 100 ml;D07XC01;betametazon;PC70;;27.5.2016
010227;EVISTA 60 mg film.obl.tbl. 28x;G03XC01;raloksifen;V*;Za zdravljenje bolnic s pomenopavzalno osteoporozo. Predpisovanje mora biti v skladu s slovenskimi smernicami za zdravljenje osteoporoze.;27.7.2002
010294;ZEFFIX film.obl.tbl. 100 mg 28x;J05AF05;lamivudin;P100*;Zdravilo sme indicirati le pooblašèeni specialist.;19.11.2009
010308;ZIAGEN 300 mg film.obl.tbl. 60x;J05AF06;abakavir;P100;;19.11.2009
010340;AULIN 100 tbl. 30x100;M01AX17;nimesulid;V;;12.6.2006
010405;FORTZAAR 100 mg/25 mg film.obl.tbl. 28x;C09DA01;losartan in diuretiki;VC*;Predpisovanje omejeno na bolnike z arterijsko hipertenzijo, kjer je zdravljenje z zaviralcem angiotenzinske konvertaze povzroèilo neželene uèinke.;27.5.2016
010480;MIRAPEXIN 0,088 mg tbl. 30x;N04BC05;pramipeksol;P70;;1.6.2012
010499;MIRAPEXIN 0,18 mg tbl. 30x;N04BC05;pramipeksol;P70;;1.6.2012
010502;MIRAPEXIN 0,7 mg tbl. 30x;N04BC05;pramipeksol;P70;;1.6.2012
010510;NeoRecormon 4.000 i.e. inj.brizga 0,3 ml 6x;B03XA01;eritropoetin;P70*;Zdravilo se sme predpisati le nedializnim bolnikom v skladu z indikacijami za predpisovanje.;1.6.2012
010529;NeoRecormon 6.000 i.e. inj.brizga 0,3 ml 6x;B03XA01;eritropoetin;P70*;Zdravilo se sme predpisati le nedializnim bolnikom v skladu z indikacijami za predpisovanje.;1.6.2012
010642;ZYRTEC 1 mg/ml peroral.razt. 60 ml;R06AE07;cetirizin;V;;1.8.2012
010669;ZYRTEC 10 mg film.obl.tbl. 10x;R06AE07;cetirizin;VC;;27.5.2016
010677;Amlopin 5 mg tbl. 30x;C08CA01;amlodipin;PC70;;27.5.2016
010685;Amlopin 10 mg tbl. 30x;C08CA01;amlodipin;PC70;;27.5.2016
010758;EMADINE 0,5 mg kapljice za oko razt. 5 ml;S01GX06;emedastin;P70;;1.6.2012
010790;EXELON 2 mg/ml peroral.razt.120 ml;N06DA03;rivastigmin;V*;Samo na osnovi izvida nevrologa ali psihiatra s priporoèilom za predpis zdravila. podrobnosti v Zdravniškem vestniku, februar 2000.69:107-8.;29.3.2011
010863;SERETIDE 25 mcg/50 mcg /vpih inhal.susp.pod tlakom120 odm.;R03AK06;salmeterol in druge uèinkovine za obstruktivne pljuène bolezni;P70*;1. Za bolnike z astmo, ki imajo ob pravilnem prejemanju zmernega odmerka inhalacijskega glukokortikoida neurejeno astmo (rezultat kombiniranih vprašalnikov urejenosti astme je v obmoèju neurejene astme). 2. Za bolnike s KOPB v skupinah GOLD C in D.;1.9.2015
010898;SERETIDE 25 mcg/125 mcg/vpih inhal.susp.pod tlakom 120 odm.;R03AK06;salmeterol in druge uèinkovine za obstruktivne pljuène bolezni;P70*;1. Za bolnike z astmo, ki imajo ob pravilnem prejemanju zmernega odmerka inhalacijskega glukokortikoida neurejeno astmo (rezultat kombiniranih vprašalnikov urejenosti astme je v obmoèju neurejene astme). 2. Za bolnike s KOPB v skupinah GOLD C in D.;1.9.2015
010901;SERETIDE 25 mcg/250 mcg/vpih inhal.susp.pod tlakom 120 odm.;R03AK06;salmeterol in druge uèinkovine za obstruktivne pljuène bolezni;P70*;1. Za bolnike z astmo, ki imajo ob pravilnem prejemanju zmernega odmerka inhalacijskega glukokortikoida neurejeno astmo (rezultat kombiniranih vprašalnikov urejenosti astme je v obmoèju neurejene astme). 2. Za bolnike s KOPB v skupinah GOLD C in D.;1.9.2015
010960;Aromasin 25 mg tbl. 30x;L02BG06;eksemestan;P100;;22.5.2009
010979;SANDOSTATIN LAR 10 mg viala 1x;H01CB02;oktreotid;P100;;22.5.2009
010987;Prenewel 2 mg/0,625 mg tbl. 30x;C09BA04;perindopril in diuretiki;VC;;27.5.2016
011010;SANDOSTATIN LAR 20 mg viala 1x;H01CB02;oktreotid;P100;;22.5.2009
011029;SANDOSTATIN LAR 30 mg viala 1x;H01CB02;oktreotid;P100;;22.5.2009
011045;Fludara 10 mg film.obl.tbl. 15x;L01BB05;fludarabin;P100;;22.5.2009
011053;Fludara 10 mg film.obl.tbl. 20x;L01BB05;fludarabin;P100;;22.5.2009
011061;ZYLLT 75 mg film.obl.tbl. 28x;B01AC04;klopidogrel;VC*;Le za zdravljenje bolnikov: 1. s stabilno koronarno boleznijo po perkutani koronarni intervenciji (PCI) z metalno opornico (BMS) 1 mesec, z opornico z zdravilom (DES) 12 mesecev. 2. z nestabilno AP/NSTEMI z opornico ali brez 12 mesecev. 3. s STEMI brez akutne reperfuzije in po trombolizi 1 mesec, po PCI z BMS 1 mesec, z DES 12 mesecev. 4. po vstavitvi BMS v drugih arterijah 3 mesece. 5. v primeru zapore opornice po navodilu intervencijskega kardiologa, 6. za bolnike po ishemiènih žilnih dogodkih v primeru kontraindikacij za zdravljenje z acetilsalicilno kislino (dokazana aktivna peptièna razjeda, preobèutljivost in putika).;27.5.2016
011070;Prenewel 2 mg/0,625 mg tbl. 90 x;C09BA04;perindopril in diuretiki;VC;;27.5.2016
011193;Prenewel 4 mg/1,25 mg tbl. 30x;C09BA04;perindopril in diuretiki;VC;;27.5.2016
011240;Prenewel 4 mg/1,25 mg tbl. 90 x;C09BA04;perindopril in diuretiki;VC;;27.5.2016
011320;Glucophage 850 mg film.obl.tbl. 100x;A10BA02;metformin;PC100;;27.5.2016
011444;Concor 5 mg film.obl.tbl. 30x;C07AB07;bisoprolol;V;;29.11.2011
011479;BELODERM 0,5 mg/g mazilo 15 g;D07AC01;betametazon;PC70;;27.5.2016
011509;BELODERM 0,5 mg/g krema 15 g;D07AC01;betametazon;PC70;;27.5.2016
011584;Concor 10 mg film.obl.tbl. 30x;C07AB07;bisoprolol;V;;29.11.2011
011592;BELOSALIC 0,5 mg / 30 mg v 1 g mazilo 30 g;D07XC01;betametazon;PC70;;27.5.2016
011711;Copaxone 20 mg/ml razt.za inj. brizga 28x;L03AX13;glatiramer acetat;P100*;Zdravilo prvega reda za zdravljenje bolnikov z multiplo sklerozo na podlagi pisnega mnenja Nevrološkega konzilija UKC Ljubljana ali UKC Maribor.;8.12.2011
011789;EXELON 1,5 mg trde kaps. 28x;N06DA03;rivastigmin;VC*;Samo na osnovi izvida nevrologa ali psihiatra s priporoèilom za predpis zdravila. podrobnosti v Zdravniškem vestniku, februar 2000.69:107-8.;27.5.2016
011797;EXELON 3 mg trde kaps. 28x;N06DA03;rivastigmin;VC*;Samo na osnovi izvida nevrologa ali psihiatra s priporoèilom za predpis zdravila. podrobnosti v Zdravniškem vestniku, februar 2000.69:107-8.;27.5.2016
011827;EXELON 4,5 mg trde kaps. 28x;N06DA03;rivastigmin;VC*;Samo na osnovi izvida nevrologa ali psihiatra s priporoèilom za predpis zdravila. podrobnosti v Zdravniškem vestniku, februar 2000.69:107-8.;27.5.2016
011894;EXELON 6 mg trde kaps. 28x;N06DA03;rivastigmin;VC*;Samo na osnovi izvida nevrologa ali psihiatra s priporoèilom za predpis zdravila. podrobnosti v Zdravniškem vestniku, februar 2000.69:107-8.;27.5.2016
011924;Pulmozyme 2,5 mg inhal.razt.za nebulator ampula 2,5ml 6x;R05CB13;dornaza alfa (dezoksiribonukleaza);P70;;1.6.2012
011940;CellCept 500 mg film.obl.tbl. 50x;L04AA06;mikofenolna kislina;PC70;;27.5.2016
011967;CellCept 250 mg kaps. 100x;L04AA06;mikofenolna kislina;PC70;;27.5.2016
012017;Nozinan 25 mg film.obl.tbl. 20x;N05AA02;levomepromazin;P100;;22.5.2009
012025;Nozinan 100 mg film.obl.tbl. 20x;N05AA02;levomepromazin;P100;;22.5.2009
012084;TADOL 100 mg tbl.s podaljš.sprošè. 30x;N02AX02;tramadol;PC70;;27.5.2016
012114;TRAMAL 150 mg film.obl.tbl. s podaljš.sprošè. 30x;N02AX02;tramadol;PC70;;27.5.2016
012122;TRAMAL 200 mg film.obl.tbl. s podaljš.sprošè. 30x;N02AX02;tramadol;PC70;;27.5.2016
012149;Kuterid 0,5 mg/g mazilo 1000 g;D07AC01;betametazon;P70;;1.6.2012
012211;Advantan 1 mg/g krema 50 g;D07AC14;metilprednizolonaceponat;P70;;1.6.2012
012289;Cozaar 100 mg film.obl.tbl. 28x;C09CA01;losartan;VC*;1. Predpisovanje omejeno na bolnike z arterijsko hipertenzijo, kjer je zdravljenje z zaviralcem angiotenzinske konvertaze povzroèilo neželene uèinke. 2. Kot druga izbira ali v kombinaciji  z  zaviralci angiotenzinske konvertaze za bolnike s kronièno ledvièno boleznijo. 3. V kombinaciji z zaviralci angiotenzinske konvertaze za bolnike s srènim popušèanjem, ki so ob temeljni terapiji z zaviralci angiotenzinske konvertaze in zaviralci beta še vedno simptomatski.;27.5.2016
012319;Lercapress 10 mg film.obl.tbl. 28x;C08CA13;lerkanidipin;VC;;27.5.2016
012475;BETADINE 200 mg vaginal.globule 14x;G01AX11;povidon-jod;V;;3.8.1996
012483;TRITAZIDE 2,5 mg/12,5 mg tbl. 28x;C09BA05;ramipril in diuretiki;VC;;27.5.2016
012491;TRITAZIDE 5 mg/25 mg tbl. 28x;C09BA05;ramipril in diuretiki;VC;;27.5.2016
012653;SPORANOX 10 mg/ml peroral.razt. 150 ml;J02AC02;itrakonazol;P70;;1.6.2012
012734;CoAprovel 150 mg/ 12,5 mg film.obl.tbl. 28;C09DA04;irbesartan in diuretiki;VC*;Predpisovanje omejeno na bolnike z arterijsko hipertenzijo, kjer je zdravljenje z zaviralcem angiotenzinske konvertaze povzroèilo neželene uèinke.;27.5.2016
012742;CoAprovel 300 mg/ 12,5 mg film.obl.tbl. 28;C09DA04;irbesartan in diuretiki;VC*;Predpisovanje omejeno na bolnike z arterijsko hipertenzijo, kjer je zdravljenje z zaviralcem angiotenzinske konvertaze povzroèilo neželene uèinke.;27.5.2016
012769;Bloxan 100 mg tbl. 30x;C07AB02;metoprolol;P70;;1.6.2012
012807;BELOSALIC 0,5 mg / 20 mg v 1 g dermal.razt. 50 ml;D07XC01;betametazon;PC70;;27.5.2016
012831;SINVACOR FORTE 40 mg film.obl.tbl. 98x;C10AA01;simvastatin;PC70*;Za sekundarno preventivo kardiovaskularnih bolezni ob zvišanih vrednostih skupnega holesterola (>4,5 mmol/l) in LDL holesterola (>2,5 mmol/l). za primarno preventivo v primerih zvišane celotne koronarne ogroženosti >20% v 10 letih, èe so vrednosti skupnega holesterola >5,0 mmol/l in LDL holesterola >3,0 mmol/l ter za osebe, ki imajo družinsko hiperholesterolemijo.;27.5.2016
012866;SINVACOR 20 mg film.obl.tbl. 98x;C10AA01;simvastatin;PC70*;Za sekundarno preventivo kardiovaskularnih bolezni ob zvišanih vrednostih skupnega holesterola (>4,5 mmol/l) in LDL holesterola (>2,5 mmol/l). za primarno preventivo v primerih zvišane celotne koronarne ogroženosti >20% v 10 letih, èe so vrednosti skupnega holesterola >5,0 mmol/l in LDL holesterola >3,0 mmol/l ter za osebe, ki imajo družinsko hiperholesterolemijo.;27.5.2016
012874;EPREX 40.000 i.e./ml razt.za inj.brizga 1x;B03XA01;eritropoetin;P70*;Zdravilo se sme predpisati le nedializnim bolnikom v skladu z indikacijami za predpisovanje.;1.6.2012
012890;SINVACOR 20 mg film.obl.tbl. 28x;C10AA01;simvastatin;PC70*;Za sekundarno preventivo kardiovaskularnih bolezni ob zvišanih vrednostih skupnega holesterola (>4,5 mmol/l) in LDL holesterola (>2,5 mmol/l). za primarno preventivo v primerih zvišane celotne koronarne ogroženosti >20% v 10 letih, èe so vrednosti skupnega holesterola >5,0 mmol/l in LDL holesterola >3,0 mmol/l ter za osebe, ki imajo družinsko hiperholesterolemijo.;27.5.2016
012971;Kytril 2 mg film.obl.tbl. 5x;A04AA02;granisetron;PC70;;27.5.2016
013013;NovoRapid Penfill 100 enot/ml razt.za inj. vložek 3 ml 5x;A10AB05;insulin aspart;P100;;22.5.2009
013021;Advantan 1 mg/g krema 25 g;D07AC14;metilprednizolonaceponat;P70;;1.6.2012
013030;Monkasta 10 mg film.obl.tbl. 28x;R03DC03;montelukast;VC*;Predpisovanje omejeno na bolnike z zmerno in hudo astmo kot dodatna terapija k inh. zdravilom, kadar privede do dokumentiranega izboljšanja urejenosti ali zmanjšanja odmerkov inh. glukokortikoidov (IG). Bolnike z blago astmo pa je možno zdraviti najveè z enim prepreèevalcem, ali IG ali levkotrienskim antagonistom. Pri vseh bolnikih z astmo je potreben preizkus uèinkovitosti zdravljenja in dokumentirano spremljanje kazalcev urejenosti astme.;27.5.2016
013137;Berodual N 0,05 mg/0,02 mg na odmerek inhal.razt.pod tlakom 200 odm.;R03AL01;fenoterol in ipratropijev bromid;P70;;1.6.2012
013145;Budenofalk 3 mg gastrorezist.kaps. 100x;A07EA06;budezonid;P70;;1.6.2012
013188;TADOL 100 mg/ml peroral.kapljice razt. 96 ml;N02AX02;tramadol;PC70;;27.5.2016
013200;Nolpaza 20 mg gastrorezist. tbl. 28x;A02BC02;pantoprazol;VC;;27.5.2016
013307;CARDURA XL 4 mg tbl.s podaljš.sprošè. 28x;C02CA04;doksazosin;VC;;27.5.2016
013331;CARDURA XL 8 mg tbl.s podaljš.sprošè. 28x;C02CA04;doksazosin;V;;10.5.2004
013390;NovoMix 30 FlexPen 100 i.e./ml susp.za inj. 3 ml peresnik 5x;A10AD05;insulin aspart;P100;;22.5.2009
013404;Advantan 1 mg/g mazilo 50 g;D07AC14;metilprednizolonaceponat;P70;;1.6.2012
013412;NovoMix 30 Penfill 100 i.e./ml inj. 3 ml vložek za peresnik 5x;A10AD05;insulin aspart;P100;;22.5.2009
013420;VASILIP 10 mg film.obl.tbl. 84x;C10AA01;simvastatin;PC70*;Za sekundarno preventivo kardiovaskularnih bolezni ob zvišanih vrednostih skupnega holesterola (>4,5 mmol/l) in LDL holesterola (>2,5 mmol/l). za primarno preventivo v primerih zvišane celotne koronarne ogroženosti >20% v 10 letih, èe so vrednosti skupnega holesterola >5,0 mmol/l in LDL holesterola >3,0 mmol/l ter za osebe, ki imajo družinsko hiperholesterolemijo.;27.5.2016
013439;VASILIP 20 mg film.obl.tbl. 84x;C10AA01;simvastatin;PC70*;Za sekundarno preventivo kardiovaskularnih bolezni ob zvišanih vrednostih skupnega holesterola (>4,5 mmol/l) in LDL holesterola (>2,5 mmol/l). za primarno preventivo v primerih zvišane celotne koronarne ogroženosti >20% v 10 letih, èe so vrednosti skupnega holesterola >5,0 mmol/l in LDL holesterola >3,0 mmol/l ter za osebe, ki imajo družinsko hiperholesterolemijo.;27.5.2016
013447;VASILIP 40 mg film.obl.tbl. 84x;C10AA01;simvastatin;PC70*;Za sekundarno preventivo kardiovaskularnih bolezni ob zvišanih vrednostih skupnega holesterola (>4,5 mmol/l) in LDL holesterola (>2,5 mmol/l). za primarno preventivo v primerih zvišane celotne koronarne ogroženosti >20% v 10 letih, èe so vrednosti skupnega holesterola >5,0 mmol/l in LDL holesterola >3,0 mmol/l ter za osebe, ki imajo družinsko hiperholesterolemijo.;27.5.2016
013501;Advantan 1 mg/g mazilo 25 g;D07AC14;metilprednizolonaceponat;P70;;1.6.2012
013510;Nolpaza 40 mg gastrorezist. tbl. 14x;A02BC02;pantoprazol;VC;;27.5.2016
013552;Flixotide 50 mcg/vpih inhal.susp.pod tlakom 120 odm.;R03BA05;flutikazon;P70;;1.6.2012
013560;Cordipin XL 40 mg tbl.s podaljš.sprošè. 30x;C08CA05;nifedipin;P70;;1.6.2012
013650;Nolpaza 40 mg gastrorezist. tbl. 28x;A02BC02;pantoprazol;VC;;27.5.2016
013706;Bromergon 2,5 mg tbl. 30x;G02CB01;bromokriptin;P100;;22.5.2009
013730;Nexium 20 mg gastrorezist.tbl. 28x;A02BC05;esomeprazol;VC;;27.5.2016
013781;Nexium 40 mg gastrorezist.tbl. 28x;A02BC05;esomeprazol;VC;;27.5.2016
013854;Fromilid uno 500 mg tbl.s podaljš.sprošè. 7x;J01FA09;klaritromicin;P70*;1. Ni antibiotik izbire za zdravljenje akutnega vnetja srednjega ušesa, vnetja obnosnih votlin, streptokoknega tonzilofaringitisa, bronhitisa, za vnetje kože (npr. akne) in podkožja. zanje ga je mogoèe predpisati le v primeru preobèutljivosti za antibiotik izbire, kadar je indicirano zdravljenje z antibiotikom. 2. Za eradikacijo dokazane okužbe s Helicobacter pylori po gastroskopiji. Izjema so bolniki s predhodno dokazano razjedo na dvanajstniku in sorodniki bolnikov z rakom na želodcu v prvem kolenu, kjer lahko uvedemo eradikacijsko zdravljenje po pozitivnem dihalnem testu.;1.6.2012
013943;Ortanol 40 mg trde kaps. 28x;A02BC01;omeprazol;VC;;27.5.2016
013951;Budelin Novolizer 200 mcg/odmerek prašek za inhal. 200 odm. + vdihovalnik;R03BA02;budezonid;P70;;1.6.2012
014001;Budelin Novolizer 200 mcg/odmerek prašek za inhal. 200 odm.;R03BA02;budezonid;P70;;1.6.2012
014044;Ortanol 10 mg trde kaps. 28x;A02BC01;omeprazol;VC;;27.5.2016
014095;Baraclude 0,5 mg film.obl.tbl. 30x;J05AF10;entekavir;P100*;Zdravilo sme indicirati le pooblašèeni specialist.;19.11.2009
014109;Baraclude 1 mg film.obl.tbl. 30x;J05AF10;entekavir;P100*;Zdravilo sme indicirati le pooblašèeni specialist.;19.11.2009
014117;Enbrel 50 mg inj.razt. brizga 4x;L04AB01;etanercept;P70*;1. Za zdravljenje revmatoidnega artritisa, juvenilnega idiopatskega artritisa, aksialnega spondiloartritisa, psoriatiènega artritisa. Zdravilo lahko indicira revmatolog ali revmatološko usmerjen internist (tega doloèi Klinièni oddelek za revmatologijo) na osnovi izpolnjenih pogojev za uvedbo in prenehanje zdravljenja z biološkim zdravilom in je bolnik vpisan in voden v elektronskem registru BioRx.si. Za otroke zdravilo indicira revmatolog Pediatriène klinike UKC Ljubljana. 2. Za zdravljenje psoriaze. Zdravilo lahko indicira dermatolog na osnovi izpolnjenih pogojev za uvedbo in prenehanje zdravljenja z biološkim zdravilom v elektronskem registru BioRx.si.;30.5.2016
014133;NOLIPREL 2 mg/0,625 mg tbl. 30x;C09BA04;perindopril in diuretiki;VC;;27.5.2016
014141;NOLIPREL FORTE 4 mg/1,25 mg tbl. 30x;C09BA04;perindopril in diuretiki;VC;;27.5.2016
014168;TENOX 5 mg tbl. 30x;C08CA01;amlodipin;PC70;;27.5.2016
014176;TENOX 10 mg tbl. 30x;C08CA01;amlodipin;PC70;;27.5.2016
014273;PRITORPLUS 40 mg/12,5 mg tbl. 28x;C09DA07;telmisartan in diuretiki;VC*;Predpisovanje omejeno na bolnike z arterijsko hipertenzijo, kjer je zdravljenje z zaviralcem angiotenzinske konvertaze povzroèilo neželene uèinke.;27.5.2016
014303;PRITORPLUS 80 mg/12,5 mg tbl. 28x;C09DA07;telmisartan in diuretiki;VC*;Predpisovanje omejeno na bolnike z arterijsko hipertenzijo, kjer je zdravljenje z zaviralcem angiotenzinske konvertaze povzroèilo neželene uèinke.;27.5.2016
014540;EZETROL 10 mg tbl. 30x;C10AX09;ezetimib;PC70*;Le za osebe, ki izpolnjujejo omejitev predpisovanja za statin na podroèju sekundarne preventive srèno-žilnih bolezni in za osebe z družinsko hiperholesterolemijo. le v kombinaciji, kadar z najuèinkovitejšim statinom ni dosežena ciljna vrednost holesterola.;27.5.2016
014559;EZETROL 10 mg tbl. 100x;C10AX09;ezetimib;PC70*;Le za osebe, ki izpolnjujejo omejitev predpisovanja za statin na podroèju sekundarne preventive srèno-žilnih bolezni in za osebe z družinsko hiperholesterolemijo. le v kombinaciji, kadar z najuèinkovitejšim statinom ni dosežena ciljna vrednost holesterola.;27.5.2016
